🇨🇳｜抖音热舞,#genre#
东方卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.123:5140
东方卫视 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.177:5140
北京卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.180:5140
北京卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.178:5140
天津卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.167:5140
天津卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.196:5140
安徽卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.106:5140
安徽卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.113:5140
山东卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.168:5140
山东卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.198:5140
广东卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.181:5140
广东卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.191:5140
江苏卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.89:5140
江苏卫视 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.175:5140
江西卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.134:5140
河北卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.132:5140
浙江卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.124:5140
浙江卫视 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.176:5140
深圳卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.182:5140
深圳卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.179:5140
湖北卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.250:5140
湖北卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.197:5140
湖南卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.88:5140
湖南卫视 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.156:5140
贵州卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.131:5140
辽宁卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.108:5140
辽宁卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.114:5140
重庆卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.107:5140
重庆卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.196:5140
黑龙江卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.183:5140
黑龙江卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.151:5140
四川卫视 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.169:5140
四川卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.188:5140
四川康巴卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.41:5140

🇨🇳地方-频道,#genre#

吉林卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlws
吉林卫视高清,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlwshd
吉林卫视高清1,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlwshd1
吉林都市,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlds
吉林都市高清,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jldshd
吉林生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlsh
吉林影视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlys
吉林公共新闻,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlggxw
吉林综艺文化,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlzywh
吉林乡村,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlxc
吉林东北戏曲,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jldbxq
吉林东北戏曲高清,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jldbxqhd
家有购物,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jljygw
四平新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlsp1
辽源新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jllyxw
通化新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlthxw
白山新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbsxw
白山公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbsgg
松原新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlsyzh
松原公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlsygg
白城新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbcxw
长白山,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlcbs
集安综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlthja
农安综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlccna
梅河口,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlthmhk
柳河综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlthlh
磐石,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jljlps
汪清,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlybwq
双辽,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlspsl
辉南新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlthhn
东丰综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jllydf
通化县,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlthth
伊通综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlspyt
梨树新闻,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlspls
公主岭综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlgzl
图们1,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlybtm
通榆,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbcty
大安,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbcda
镇赉综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbczl
扶余,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlsyfy
乾安综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlsyqa
延吉,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlybyj
洮南,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbctn
抚松综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbsfs
舒兰新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jljlsl
临江,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbslj
靖宇综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbsjy
敦化,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlybdh
龙井,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlyblj
珲春,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlybhc
桦甸综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jljlhd
江源,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlbsjy1
九台,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlccjt
德惠综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlccdh
双阳综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jlccsy
锦州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jzxwzh
锦州教育,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jzjy
锦州公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jzgg
葫芦岛新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hldxwzh
葫芦岛公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hldgg
大同新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=dtxwzh
大同公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=dtgg
大同煤都生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=dtmdsh
朔州1,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sxsztv1
朔州2,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sxsztv2
渭南新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wnxwzh
渭南公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wngg
济南新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnxwzh
济南都市,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnds
济南影视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnys
济南娱乐,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnyl
济南生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnsh
济南商务,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnsw
济南少儿,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnse
济南新闻综合高清,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnxwhd
济南影视高清,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnyshd
济南鲁中,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnlz
济南科教,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnkj
济南网,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnqtx
济南移动电视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnyd
济南地铁电视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnyddt
济南城市电视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jnydcs
日照新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=rzxwzh
日照公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=rzgg
日照科教,http://www.253iptv.ga/kumaozb1113/hoge.php?id=rzkj
日照房车,http://www.253iptv.ga/kumaozb1113/hoge.php?id=rzfc
潍坊新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wftv1
潍坊农业,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wftv2
潍坊公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wftv3
潍坊科教,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wftv4
淄博新闻,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sdzbxw
淄博都市,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sdzbds
淄博科教,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sdzbkj
淄博生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sdzbsh
淄博公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sdzbgg
安徽卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahws
安徽影视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahys
安徽经济生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahjjsh
安徽综艺体育,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahzyty
安徽农业科教,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahnykj
安徽公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahgg
安徽国际,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahgj
安徽移动,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahyd
睛彩安徽,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jcah
淮北新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahhbxw
淮北公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahhbgg
淮北教育,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ahhbjy
宁夏卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nxws
宁夏公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nxgg
宁夏经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nxjj
宁夏影视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nxys
宁夏少儿,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nxse
东南卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjdnws
海峡卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjhxws
福建综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjzh
福建乡村振兴·公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjgg
福建新闻,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjxw
福建电视剧,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjdsj
福建旅游,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjly
福建经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjjj
福建文体,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjwt
福建少儿,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjse
CCTV1（福建线路）,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjcctv1
CCTV13（福建线路）,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjcctv13
厦门卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=xmws
厦门1,http://www.253iptv.ga/kumaozb1113/hoge.php?id=xmtv1
厦门2,http://www.253iptv.ga/kumaozb1113/hoge.php?id=xmtv2
厦门移动,http://www.253iptv.ga/kumaozb1113/hoge.php?id=xmyd
莆田新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjptxw
莆田新闻综合（福建线路）,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjptxw1
莆田2,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjpt2
莆田仙游,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjptxy
尤溪综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjsmyx
沙县综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=fjsmsx
石狮,http://www.253iptv.ga/kumaozb1113/hoge.php?id=qzsstv
内蒙古卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgws
内蒙古新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgxwzh
内蒙古蒙语卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgmyws
内蒙古蒙语文化,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgmywh
内蒙古少儿,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgse
内蒙古文体娱乐,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgwtyl
内蒙古农牧,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgnm
内蒙古经济生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgjjsh
内蒙古三佳购物,http://www.253iptv.ga/kumaozb1113/hoge.php?id=nmgsjgw
赤峰新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfxwzh
赤峰经济服务,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfjjfw
赤峰影视娱乐,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfysyl
乌兰察布新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wlcbxw
乌兰察布经济生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wlcbjj
乌兰察布生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wlcbsh
敖汉综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfahzh
阿旗汉语,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfaqhy
阿旗蒙语,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfaqmy
喀旗,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfkaqi
克旗,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfkeqi
宁城综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfnczh
松山,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfsstv
翁旗,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfwnt
巴林左旗,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfblzq
元宝山,http://www.253iptv.ga/kumaozb1113/hoge.php?id=cfybs
海南卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=haiws
三沙卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=ssws
海南经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=haijj
海南新闻,http://www.253iptv.ga/kumaozb1113/hoge.php?id=haixw
海南公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=haigg
海南文旅,http://www.253iptv.ga/kumaozb1113/hoge.php?id=haiwl
海南少儿,http://www.253iptv.ga/kumaozb1113/hoge.php?id=haise
兰州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gslzxw
兰州生活经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gslzsh
兰州文旅,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gslzwl
庆阳综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gsqyzh
庆阳公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gsqygg
遵义综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gzzyzh
遵义公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gzzygg
遵义都市,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gzzyds
康巴卫视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sckbws
眉山综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=scmszh
眉山公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=scmsgg
资阳新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sczyxw
资阳雁江,http://www.253iptv.ga/kumaozb1113/hoge.php?id=sczyyj
梧州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gxwzxw
梧州公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gxwzgg
梧州教育生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=gxwzjy
石家庄新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hesjzxw
石家庄娱乐,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hesjzyl
石家庄生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hesjzsh
石家庄都市,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hesjzds
保定新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hebdxw
保定公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hebdgg
保定生活健康,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hebdsh
郑州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hazzxw
郑州商都,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hazzsd
郑州文体旅游,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hazzwt
郑州影视戏曲,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hazzys
郑州妇女儿童,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hazzfn
郑州都市生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hazzds
湖北卫视（武汉线路）,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbws
武汉新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhxw
武汉电视剧,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhdsj
武汉科技生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhkj
武汉经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhjj
武汉文体,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhwt
武汉外语,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhwy
武汉少儿,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhse
武汉教育,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbwhjy
荆门新闻,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbjmxw
荆门教育,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hbjmjy
永州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hnyzxw
永州公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hnyzgg
郴州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hnczxw
郴州公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hnczgg
CCTV1（郴州线路）,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hnczcctv1
苏州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsszxwzh
苏州社会经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsszshjj
苏州文化生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsszwhsh
苏州生活资讯,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsszshzx
盐城新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsyc1
盐城法制生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsyc2
盐城城市公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsyc3
徐州1,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsxz1
徐州2,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsxz2
徐州3,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsxz3
徐州4,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jsxz4
淮安综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jshazh
淮安公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jshagg
淮安影视娱乐,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jshays
无锡新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jswxxw
无锡娱乐,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jswxyl
无锡都市资讯,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jswxds
无锡生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jswxsh
无锡经济,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jswxjj
泰州1,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jstz1
泰州2,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jstz2
泰州3,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jstz3
邳州综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=jspzzh
杭州综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzzh
杭州明珠,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzmz
杭州生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzsh
杭州影视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzys
杭州少儿体育,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzse
杭州导视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzds
嘉兴新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=zjjxxw
嘉兴公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=zjjxgg
嘉兴文化影视,http://www.253iptv.ga/kumaozb1113/hoge.php?id=zjjxwh
温州新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wzxwzh
温州经济科教,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wzjjkj
温州都市生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wzdssh
温州公共,http://www.253iptv.ga/kumaozb1113/hoge.php?id=wzgg
富阳新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hzfyzh
德清新闻综合,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hudqxw
德清文化生活,http://www.253iptv.ga/kumaozb1113/hoge.php?id=hudqwh
济阳综合,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnjyzh
济阳影视,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnjyys
商河综合,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnshzh
商河影视,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnshys
长清新闻,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jncqxw
长清生活,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jncqsh
章丘综合,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnzq1
章丘TV-2,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnzq2
平阴综合,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnpyzh
平阴生活,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnpysh
历城新闻综合,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnlcxw
济铁电视台,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=jnjrtv
平度新闻综合,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=qdpdxw
平度生活服务,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=qdpdsh
李沧,http://www.253iptv.ga/kumaozb1113/iqilu.php?id=qdlc
